0->,Freq:500MHz,,dBm:10,,Reading:3.3319dB,,LowLimit:5.97,,HighLimit:6.97,,CableLoss:6.4529,,Result:Pass,,TestTime:3304ms
1->,Freq:550MHz,,dBm:10,,Reading:3.1718dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5899,,Result:Pass,,TestTime:3304ms
2->,Freq:600MHz,,dBm:10,,Reading:3.2209dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5393,,Result:Pass,,TestTime:3281ms
3->,Freq:650MHz,,dBm:10,,Reading:3.0268dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.6931,,Result:Pass,,TestTime:3280ms
4->,Freq:700MHz,,dBm:10,,Reading:3.1907dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5692,,Result:Pass,,TestTime:3285ms
5->,Freq:750MHz,,dBm:10,,Reading:3.2532dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5170,,Result:Pass,,TestTime:3285ms
6->,Freq:800MHz,,dBm:10,,Reading:3.2579dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.4523,,Result:Pass,,TestTime:3321ms
7->,Freq:850MHz,,dBm:10,,Reading:3.1312dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.6591,,Result:Pass,,TestTime:3283ms
8->,Freq:900MHz,,dBm:10,,Reading:3.2704dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.4596,,Result:Pass,,TestTime:3292ms
9->,Freq:950MHz,,dBm:10,,Reading:2.9695dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.8206,,Result:Pass,,TestTime:3271ms
10->,Freq:1000MHz,,dBm:10,,Reading:3.2134dB,,LowLimit:6.13,,HighLimit:7.13,,CableLoss:6.5274,,Result:Pass,,TestTime:3283ms
11->,Freq:1050MHz,,dBm:10,,Reading:2.9888dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.8119,,Result:Pass,,TestTime:3316ms
12->,Freq:1100MHz,,dBm:10,,Reading:3.2177dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.4825,,Result:Pass,,TestTime:3287ms
13->,Freq:1150MHz,,dBm:10,,Reading:3.1162dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.6340,,Result:Pass,,TestTime:3328ms
14->,Freq:1200MHz,,dBm:10,,Reading:3.1894dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.5703,,Result:Pass,,TestTime:3300ms
15->,Freq:1250MHz,,dBm:10,,Reading:3.1189dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.5612,,Result:Pass,,TestTime:3279ms
16->,Freq:1300MHz,,dBm:10,,Reading:3.0135dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.7169,,Result:Pass,,TestTime:3316ms
17->,Freq:1350MHz,,dBm:10,,Reading:3.0725dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.5478,,Result:Pass,,TestTime:3308ms
18->,Freq:1400MHz,,dBm:10,,Reading:2.9646dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.7353,,Result:Pass,,TestTime:3323ms
19->,Freq:1450MHz,,dBm:10,,Reading:2.9936dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.6268,,Result:Pass,,TestTime:3314ms
20->,Freq:1500MHz,,dBm:10,,Reading:2.9780dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.6522,,Result:Pass,,TestTime:3314ms
21->,Freq:1550MHz,,dBm:10,,Reading:2.9986dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.6815,,Result:Pass,,TestTime:3302ms
22->,Freq:1600MHz,,dBm:10,,Reading:2.9874dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.6822,,Result:Pass,,TestTime:3302ms
23->,Freq:1650MHz,,dBm:10,,Reading:2.9305dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.7302,,Result:Pass,,TestTime:3314ms
24->,Freq:1700MHz,,dBm:10,,Reading:2.8695dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.7507,,Result:Pass,,TestTime:3287ms
25->,Freq:1750MHz,,dBm:10,,Reading:2.8366dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.8234,,Result:Pass,,TestTime:3295ms
26->,Freq:1800MHz,,dBm:10,,Reading:2.5528dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.9669,,Result:Pass,,TestTime:3314ms
27->,Freq:1850MHz,,dBm:10,,Reading:2.8416dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.7183,,Result:Pass,,TestTime:3278ms
28->,Freq:1900MHz,,dBm:10,,Reading:2.4809dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:7.0188,,Result:Pass,,TestTime:3295ms
29->,Freq:1950MHz,,dBm:10,,Reading:2.7916dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.7387,,Result:Pass,,TestTime:3322ms
30->,Freq:2000MHz,,dBm:10,,Reading:2.7681dB,,LowLimit:6.43,,HighLimit:7.43,,CableLoss:6.8618,,Result:Pass,,TestTime:3276ms
31->,Freq:2050MHz,,dBm:10,,Reading:2.7209dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.8993,,Result:Pass,,TestTime:3268ms
32->,Freq:2100MHz,,dBm:10,,Reading:2.5742dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9859,,Result:Pass,,TestTime:3287ms
33->,Freq:2150MHz,,dBm:10,,Reading:2.5874dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9725,,Result:Pass,,TestTime:3280ms
34->,Freq:2200MHz,,dBm:10,,Reading:2.3668dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:7.1229,,Result:Pass,,TestTime:3287ms
35->,Freq:2250MHz,,dBm:10,,Reading:2.4489dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9709,,Result:Pass,,TestTime:3274ms
36->,Freq:2300MHz,,dBm:10,,Reading:2.5469dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:7.0238,,Result:Pass,,TestTime:3322ms
37->,Freq:2350MHz,,dBm:10,,Reading:2.5631dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9472,,Result:Pass,,TestTime:3277ms
38->,Freq:2400MHz,,dBm:10,,Reading:2.5938dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9369,,Result:Pass,,TestTime:3313ms
39->,Freq:2450MHz,,dBm:10,,Reading:2.5852dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9446,,Result:Pass,,TestTime:3286ms
40->,Freq:2500MHz,,dBm:10,,Reading:2.4972dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9829,,Result:Pass,,TestTime:3284ms
41->,Freq:2550MHz,,dBm:10,,Reading:2.5114dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9280,,Result:Pass,,TestTime:3289ms
42->,Freq:2600MHz,,dBm:10,,Reading:2.5203dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9997,,Result:Pass,,TestTime:3316ms
43->,Freq:2650MHz,,dBm:10,,Reading:2.4478dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:7.0229,,Result:Pass,,TestTime:3300ms
44->,Freq:2700MHz,,dBm:10,,Reading:2.4156dB,,LowLimit:6.71,,HighLimit:7.71,,CableLoss:6.9648,,Result:Pass,,TestTime:3317ms